% output_type: 'OUTPUT_TYPE_TABLE'
% source: 'sat-handover-hap'
% count: 235
% node_id role dev_id device_type ip_address
3 GW 1 ns3::SatNetDevice 40.1.0.1
3 GW 2 ns3::SatNetDevice 40.2.0.1
3 GW 3 ns3::SatNetDevice 40.3.0.1
3 GW 4 ns3::SatNetDevice 40.4.0.1
3 GW 5 ns3::SatNetDevice 40.5.0.1
3 GW 6 ns3::SatNetDevice 40.6.0.1
3 GW 7 ns3::SatNetDevice 40.7.0.1
3 GW 8 ns3::SatNetDevice 40.8.0.1
3 GW 9 ns3::SatNetDevice 40.9.0.1
3 GW 10 ns3::SatNetDevice 40.10.0.1
3 GW 11 ns3::SatNetDevice 40.11.0.1
3 GW 12 ns3::SatNetDevice 40.12.0.1
3 GW 13 ns3::SatNetDevice 40.13.0.1
3 GW 14 ns3::SatNetDevice 40.14.0.1
3 GW 15 ns3::SatNetDevice 40.15.0.1
3 GW 16 ns3::SatNetDevice 40.16.0.1
3 GW 17 ns3::SatNetDevice 40.17.0.1
3 GW 18 ns3::SatNetDevice 40.18.0.1
3 GW 19 ns3::SatNetDevice 40.19.0.1
3 GW 20 ns3::SatNetDevice 40.20.0.1
3 GW 21 ns3::SatNetDevice 40.21.0.1
3 GW 22 ns3::SatNetDevice 40.22.0.1
3 GW 23 ns3::SatNetDevice 40.23.0.1
3 GW 24 ns3::SatNetDevice 40.24.0.1
3 GW 25 ns3::SatNetDevice 40.25.0.1
3 GW 26 ns3::SatNetDevice 40.26.0.1
3 GW 27 ns3::SatNetDevice 40.27.0.1
3 GW 28 ns3::SatNetDevice 40.28.0.1
3 GW 29 ns3::SatNetDevice 40.29.0.1
3 GW 30 ns3::SatNetDevice 40.30.0.1
3 GW 31 ns3::SatNetDevice 40.31.0.1
3 GW 32 ns3::SatNetDevice 40.32.0.1
3 GW 33 ns3::SatNetDevice 40.33.0.1
3 GW 34 ns3::SatNetDevice 40.34.0.1
3 GW 35 ns3::SatNetDevice 40.35.0.1
3 GW 36 ns3::SatNetDevice 40.36.0.1
3 GW 37 ns3::SatNetDevice 40.37.0.1
3 GW 38 ns3::SatNetDevice 40.38.0.1
3 GW 39 ns3::SatNetDevice 40.39.0.1
3 GW 40 ns3::SatNetDevice 40.40.0.1
3 GW 41 ns3::SatNetDevice 40.41.0.1
3 GW 42 ns3::SatNetDevice 40.42.0.1
3 GW 43 ns3::SatNetDevice 40.43.0.1
3 GW 44 ns3::SatNetDevice 40.44.0.1
3 GW 45 ns3::SatNetDevice 40.45.0.1
3 GW 46 ns3::SatNetDevice 40.46.0.1
3 GW 47 ns3::SatNetDevice 40.47.0.1
3 GW 48 ns3::SatNetDevice 40.48.0.1
3 GW 49 ns3::SatNetDevice 40.49.0.1
3 GW 50 ns3::SatNetDevice 40.50.0.1
3 GW 51 ns3::SatNetDevice 40.51.0.1
3 GW 52 ns3::SatNetDevice 40.52.0.1
3 GW 53 ns3::SatNetDevice 40.53.0.1
3 GW 54 ns3::SatNetDevice 40.54.0.1
3 GW 55 ns3::SatNetDevice 40.55.0.1
3 GW 56 ns3::SatNetDevice 40.56.0.1
3 GW 57 ns3::SatNetDevice 40.57.0.1
3 GW 58 ns3::SatNetDevice 40.58.0.1
3 GW 59 ns3::SatNetDevice 40.59.0.1
3 GW 60 ns3::SatNetDevice 40.60.0.1
3 GW 61 ns3::SatNetDevice 40.61.0.1
3 GW 62 ns3::SatNetDevice 40.62.0.1
3 GW 63 ns3::SatNetDevice 40.63.0.1
3 GW 64 ns3::SatNetDevice 40.64.0.1
3 GW 65 ns3::SatNetDevice 40.65.0.1
3 GW 66 ns3::SatNetDevice 40.66.0.1
3 GW 67 ns3::SatNetDevice 40.67.0.1
3 GW 68 ns3::SatNetDevice 40.68.0.1
3 GW 69 ns3::SatNetDevice 40.69.0.1
3 GW 70 ns3::SatNetDevice 40.70.0.1
3 GW 71 ns3::SatNetDevice 40.71.0.1
3 GW 72 ns3::SatNetDevice 40.72.0.1
3 GW 73 ns3::SatNetDevice 40.73.0.1
3 GW 74 ns3::SatNetDevice 40.74.0.1
3 GW 75 ns3::SatNetDevice 40.75.0.1
3 GW 76 ns3::SatNetDevice 40.76.0.1
3 GW 77 ns3::SatNetDevice 40.77.0.1
3 GW 78 ns3::SatNetDevice 40.78.0.1
3 GW 79 ns3::SatNetDevice 40.79.0.1
3 GW 80 ns3::SatNetDevice 40.80.0.1
3 GW 81 ns3::SatNetDevice 40.81.0.1
3 GW 82 ns3::SatNetDevice 40.82.0.1
3 GW 83 ns3::SatNetDevice 40.83.0.1
3 GW 84 ns3::SatNetDevice 40.84.0.1
3 GW 85 ns3::SatNetDevice 40.85.0.1
3 GW 86 ns3::SatNetDevice 40.86.0.1
3 GW 87 ns3::SatNetDevice 40.87.0.1
3 GW 88 ns3::SatNetDevice 40.88.0.1
3 GW 89 ns3::SatNetDevice 40.89.0.1
3 GW 90 ns3::SatNetDevice 40.90.0.1
3 GW 91 ns3::SatNetDevice 40.91.0.1
3 GW 92 ns3::SatNetDevice 40.92.0.1
3 GW 93 ns3::SatNetDevice 40.93.0.1
3 GW 94 ns3::SatNetDevice 40.94.0.1
